ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
8067540,中古マンション等,,8217,茨城県,取手市,野々井,稲戸井,13,３ＬＤＫ,70,,,,平成8年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2007年第3四半期,未改装,,6.977723605288848
8027265,中古マンション等,,8219,茨城県,牛久市,ひたち野東,ひたち野うしく,8,３ＬＤＫ,70,,,,平成10年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2018年第3四半期,未改装,,7.2552725051033065
8061526,中古マンション等,,8220,茨城県,つくば市,苅間,研究学園,4,３ＬＤＫ,105,,,,平成21年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2011年第4四半期,未改装,,7.556302500767288
8086147,中古マンション等,,8220,茨城県,つくば市,並木,つくば,1H?1H30,４ＬＤＫ,100,,,,平成19年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2013年第1四半期,未改装,,7.380211241711606
8049498,中古マンション等,,8224,茨城県,守谷市,ひがし野,守谷,8,４ＬＤＫ,95,,,,平成21年,ＲＣ,,住宅,,,,近隣商業地域,80.0,200.0,2018年第2四半期,未改装,,7.518513939877887
8072555,中古マンション等,,8217,茨城県,取手市,野々井,ゆめみ野,5,４ＬＤＫ,75,,,,,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2013年第2四半期,未改装,,6.707570176097937
8002995,中古マンション等,,8201,茨城県,水戸市,見川,赤塚,30分?60分,５ＤＫ,85,,,,昭和60年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2017年第3四半期,未改装,,6.724275869600789
8089188,中古マンション等,,8220,茨城県,つくば市,花畑,つくば,,３ＬＤＫ,100,,,,平成20年,ＲＣ,住宅,,,,,,,,2009年第1四半期,未改装,,7.361727836017593
8024138,中古マンション等,,8217,茨城県,取手市,宮和田,藤代,10,３ＬＤＫ,75,,,,昭和64年,ＲＣ,,住宅,,,,第１種住居地域,60.0,200.0,2021年第3四半期,未改装,,6.477121254719663
8024085,中古マンション等,,8203,茨城県,土浦市,荒川沖東,土浦,5,３ＬＤＫ,70,,,,平成19年,ＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2011年第2四半期,改装済,,7.204119982655925
8030369,中古マンション等,,8201,茨城県,水戸市,大工町,水戸,25,３ＬＤＫ,65,,,,平成25年,ＲＣ,住宅,,,,,商業地域,80.0,600.0,2013年第2四半期,未改装,,7.380211241711606
8076705,中古マンション等,,8219,茨城県,牛久市,ひたち野東,ひたち野うしく,1,３ＬＤＫ,70,,,,平成20年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第3四半期,未改装,,7.230448921378274
8024111,中古マンション等,,8204,茨城県,古河市,下辺見,古河,28,２ＬＤＫ,55,,,,平成4年,鉄骨造,住宅,,,,,第１種低層住居専用地域,40.0,80.0,2010年第1四半期,改装済,,6.8061799739838875
