,id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price
0,0,nashville,1949,bmw,2,6,gas,115148.0,clean,manual,rwd,mid-size,convertible,orange,,27587.0
1,1,state college,2013,toyota,4,8,gas,172038.0,clean,automatic,rwd,full-size,sedan,silver,pa,4724.0
2,2,wichita,1998,ford,3,6,gas,152492.0,clean,automatic,fwd,full-size,SUV,silver,ks,10931.0
3,3,albany,2014,ford,2,4,gas,104118.0,clean,manual,fwd,mid-size,SUV,blue,ny,16553.0
4,4,redding,2005,ford,2,6,gas,144554.0,clean,manual,fwd,mid-size,sedan,red,ca,5158.0
5,5,florence / muscle shoals,2013,nissan,3,4,gas,133208.0,clean,automatic,4wd,full-size,SUV,black,al,7941.0
6,6,oregon coast,2014,volkswagen,2,6,gas,131104.0,clean,automatic,fwd,mid-size,sedan,blue,or,5860.0
7,7,medford-ashland,2006,bmw,3,6,gas,158776.0,clean,manual,fwd,mid-size,coupe,red,or,2799.0
8,8,richmond,2013,bmw,2,6,gas,127167.0,clean,manual,fwd,full-size,sedan,black,va,6036.0
9,9,buffalo,2012,volkswagen,3,4,gas,150319.0,rebuilt,automatic,fwd,mid-size,sedan,orange,ny,7341.0
10,10,billings,2011,bmw,2,6,gas,101850.0,clean,manual,4wd,full-size,SUV,black,mt,10880.0
11,11,bakersfield,2010,ford,2,6,gas,95511.0,rebuilt,automatic,fwd,mid-size,sedan,blue,ca,5757.0
12,12,central NJ,2018,ford,2,4,gas,55662.0,rebuilt,automatic,fwd,mid-size,coupe,silver,nj,11039.0
13,13,albany,2010,lexus,2,6,gas,81936.0,,automatic,fwd,mid-size,,white,ny,8760.0
14,14,worcester / central MA,2005,ford,2,6,gas,107934.0,clean,automatic,fwd,mid-size,SUV,black,ma,17244.0
15,15,eau claire,1999,nissan,2,6,gas,54481.0,parts only,automatic,4wd,full-size,mini-van,black,wi,3389.0
16,16,wichita,2006,buick,2,0,gas,152762.0,clean,automatic,fwd,full-size,sedan,silver,ks,3963.0
17,17,greenville / upstate,2012,ford,1,4,gas,129491.0,clean,automatic,4wd,full-size,SUV,black,sc,36783.0
18,18,yakima,1995,volkswagen,4,6,gas,193124.0,clean,automatic,fwd,mid-size,sedan,white,wa,3289.0
19,19,wichita,2013,subaru,2,4,gas,124912.0,clean,manual,4wd,mid-size,SUV,silver,ks,27556.0
20,20,"washington, DC",1996,ram,4,8,gas,177974.0,clean,automatic,4wd,full-size,pickup,red,dc,4688.0
21,21,palm springs,2008,ford,3,4,gas,162412.0,clean,manual,fwd,mid-size,sedan,red,ca,3907.0
22,22,cincinnati,2014,ford,2,6,gas,83288.0,clean,automatic,fwd,full-size,SUV,white,oh,20237.0
23,23,rockford,2016,ford,2,6,diesel,147583.0,rebuilt,manual,4wd,full-size,pickup,white,,37763.0
24,24,rochester,2015,ford,1,4,gas,161608.0,clean,automatic,fwd,full-size,SUV,red,ny,7271.0
25,25,lancaster,2012,bmw,2,6,gas,155568.0,clean,automatic,4wd,mid-size,SUV,blue,pa,11945.0
26,26,redding,2012,toyota,2,4,gas,130992.0,clean,manual,fwd,mid-size,sedan,black,ca,9235.0
27,27,fort wayne,2012,dodge,1,4,gas,9309.0,rebuilt,automatic,fwd,mid-size,sedan,white,in,15940.0
28,28,toledo,2007,dodge,2,6,gas,158633.0,clean,automatic,4wd,full-size,truck,black,oh,16337.0
29,29,wilmington,2005,ford,2,8,gas,209759.0,clean,automatic,rwd,full-size,truck,black,de,7264.0
30,30,"washington, DC",2016,ford,3,4,gas,88187.0,clean,automatic,fwd,sub-compact,coupe,blue,dc,31696.0
31,31,huntsville / decatur,2006,bmw,2,6,gas,104876.0,clean,automatic,rwd,mid-size,sedan,black,al,14750.0
32,32,wilmington,2003,toyota,4,4,gas,150511.0,clean,automatic,fwd,full-size,sedan,red,de,1406.0
33,33,orlando,2009,volkswagen,3,4,gas,106666.0,clean,automatic,fwd,full-size,sedan,black,fl,6063.0
34,34,sarasota-bradenton,1992,chevrolet,3,8,gas,64430.0,clean,manual,rwd,full-size,truck,black,fl,8432.0
35,35,las cruces,2013,toyota,3,4,gas,21293.0,clean,automatic,fwd,full-size,SUV,blue,nm,8403.0
36,36,mohave county,2012,ford,2,4,gas,105981.0,clean,automatic,fwd,mid-size,sedan,blue,az,16079.0
37,37,tulsa,2006,ram,2,6,diesel,141099.0,clean,manual,4wd,full-size,pickup,silver,ok,23375.0
38,38,indianapolis,2015,chevrolet,3,8,gas,95888.0,clean,automatic,4wd,full-size,truck,white,in,6655.0
39,39,fresno / madera,2012,volkswagen,4,6,gas,152452.0,clean,manual,fwd,compact,sedan,blue,ca,7142.0
40,40,norfolk / hampton roads,2013,ford,3,4,gas,174294.0,clean,automatic,fwd,full-size,sedan,black,va,6411.0
41,41,duluth / superior,2015,bmw,2,6,gas,55954.0,rebuilt,manual,4wd,full-size,SUV,black,mn,20514.0
42,42,san antonio,1988,ford,4,8,gas,147310.0,rebuilt,manual,4wd,full-size,pickup,green,,6205.0
