,id,match_date,kick_off_time,home_team,away_team,venue,attendance,month,year,capacity_y,rain,first_end_sec,capacity_ratio
0,9190,2006-03-04,16,G大阪,浦和,万博記念競技場,20916.0,3,2006,21000,0,1,99.6
1,9191,2006-03-05,13,甲府,清水,山梨県小瀬スポーツ公園陸上競技場,14277.0,3,2006,15859,0,1,90.02459171448389
2,9192,2006-03-05,13,FC東京,大分,味の素スタジアム,22531.0,3,2006,48999,0,1,45.98257107287903
3,9193,2006-03-05,14,磐田,福岡,静岡スタジアムエコパ,28564.0,3,2006,51697,0,1,55.252722595121575
4,9194,2006-03-05,14,名古屋,C大阪,名古屋市瑞穂陸上競技場,17199.0,3,2006,20223,0,1,85.04672897196261
5,9195,2006-03-05,15,大宮,千葉,埼玉スタジアム2002,13085.0,3,2006,62010,0,1,21.101435252378646
6,9196,2006-03-05,15,川崎F,新潟,等々力陸上競技場,17444.0,3,2006,26827,0,1,65.02404294181235
7,9197,2006-03-05,15,広島,鹿島,広島ビッグアーチ,17564.0,3,2006,36894,0,1,47.606656908982494
8,9198,2006-03-05,15,横浜FM,京都,日産スタジアム,23607.0,3,2006,72081,0,1,32.750655512548384
9,9199,2006-03-11,14,浦和,磐田,埼玉スタジアム2002,56512.0,3,2006,62010,0,0,91.13368811482019
10,9200,2006-03-11,15,千葉,甲府,フクダ電子アリーナ,11896.0,3,2006,19470,0,0,61.09912686183873
11,9201,2006-03-11,15,新潟,FC東京,新潟スタジアム,40266.0,3,2006,41684,0,0,96.59821514250072
12,9202,2006-03-11,15,清水,名古屋,日本平スタジアム,13054.0,3,2006,20248,0,0,64.47056499407348
13,9203,2006-03-11,16,鹿島,横浜FM,県立カシマサッカースタジアム,22454.0,3,2006,37496,0,0,59.883720930232556
14,9204,2006-03-11,16,京都,川崎F,京都市西京極総合運動公園陸上競技場兼球技場,7921.0,3,2006,20588,0,0,38.47386827278026
15,9205,2006-03-11,19,福岡,大宮,東平尾公園博多の森球技場,12040.0,3,2006,22331,0,0,53.91608078455958
16,9206,2006-03-12,14,大分,広島,九州石油ドーム,17043.0,3,2006,31997,0,0,53.26436853455011
17,9207,2006-03-12,15,C大阪,G大阪,大阪長居スタジアム,30561.0,3,2006,47853,0,0,63.86433452448122
