iter	Passed	Remaining
0	4	23856
1	8	21123
2	12	20834
3	16	20441
4	20	20281
5	24	20161
6	28	19983
7	32	19984
8	35	19943
9	39	19881
10	43	19818
11	47	19781
12	51	19657
13	54	19471
14	58	19416
15	61	19293
16	65	19246
17	69	19182
18	72	19081
19	76	19031
20	79	18960
21	83	18885
22	86	18824
23	90	18743
24	94	18796
25	98	18786
26	102	18795
27	105	18778
28	109	18815
29	113	18755
30	117	18780
31	120	18760
32	124	18736
33	128	18743
34	132	18779
35	136	18796
36	139	18769
37	143	18742
38	147	18762
39	151	18787
40	154	18736
41	158	18732
42	162	18722
43	165	18695
44	169	18666
45	172	18623
46	176	18580
47	179	18532
48	183	18493
49	186	18465
50	190	18444
51	193	18430
52	197	18395
53	200	18382
54	204	18358
55	207	18340
56	211	18316
57	214	18304
58	218	18292
59	221	18259
60	225	18258
61	228	18221
62	232	18190
63	235	18164
64	239	18159
65	242	18127
66	245	18103
67	249	18095
68	252	18071
69	256	18062
70	259	18048
71	263	18008
72	266	17981
73	269	17946
74	272	17913
75	276	17884
76	279	17866
77	282	17851
78	286	17843
79	289	17827
80	293	17801
81	296	17772
82	299	17755
83	303	17741
84	306	17729
85	309	17708
86	313	17693
87	316	17670
88	320	17665
89	323	17636
90	326	17616
91	329	17586
92	333	17592
93	336	17583
94	340	17568
95	343	17543
96	346	17518
97	349	17504
98	353	17480
99	356	17473
100	360	17470
101	363	17457
102	367	17451
103	370	17452
104	374	17442
105	377	17425
106	380	17410
107	384	17395
108	387	17377
109	390	17358
110	393	17341
111	397	17332
112	400	17340
113	404	17333
114	407	17322
115	411	17316
116	414	17309
117	418	17300
118	421	17289
119	424	17269
120	428	17268
121	431	17268
122	435	17256
123	438	17246
124	442	17240
125	445	17229
126	448	17224
127	452	17226
128	457	17270
129	460	17258
130	463	17236
131	467	17223
132	470	17218
133	473	17212
134	477	17204
135	480	17188
136	483	17179
137	487	17184
138	491	17172
139	494	17158
140	497	17149
141	501	17145
142	504	17133
143	507	17125
144	511	17116
145	514	17103
146	517	17086
147	520	17079
148	524	17069
149	527	17064
150	530	17048
151	534	17044
152	537	17032
153	540	17019
154	543	17003
155	547	16986
156	550	16981
157	553	16965
158	556	16958
159	560	16948
160	563	16938
161	566	16930
162	570	16919
163	573	16914
164	576	16899
165	579	16889
166	583	16880
167	586	16864
168	589	16855
169	592	16847
170	596	16839
171	599	16829
172	602	16820
173	606	16814
174	609	16810
175	613	16807
176	616	16799
177	619	16792
178	623	16785
179	626	16780
180	629	16773
181	633	16759
182	636	16748
183	639	16744
184	643	16737
185	646	16740
186	650	16730
187	653	16724
188	656	16719
189	660	16721
190	663	16712
191	667	16710
192	670	16699
193	673	16681
194	676	16673
195	679	16665
196	683	16656
197	686	16648
198	689	16637
199	692	16628
200	696	16621
201	699	16611
202	702	16597
203	705	16586
204	708	16575
205	711	16566
206	715	16560
207	718	16553
208	721	16544
209	725	16539
210	728	16534
211	731	16527
212	735	16521
213	738	16509
214	741	16498
215	744	16489
216	748	16488
217	751	16481
218	754	16478
219	758	16482
220	762	16496
221	766	16500
222	769	16492
223	773	16484
224	776	16470
225	779	16465
226	782	16460
227	786	16454
228	789	16452
229	792	16441
230	796	16434
231	799	16429
232	802	16426
233	806	16421
234	809	16415
235	812	16408
236	816	16402
237	819	16394
238	822	16384
239	825	16373
240	828	16364
241	832	16360
242	835	16352
243	838	16346
244	841	16335
245	845	16332
246	848	16333
247	852	16327
248	855	16319
249	858	16311
250	861	16306
251	865	16307
252	868	16298
253	872	16296
254	875	16289
255	878	16284
256	882	16279
257	885	16271
258	888	16264
259	891	16260
260	895	16256
261	899	16260
262	902	16257
263	906	16253
264	909	16247
265	913	16250
266	916	16251
267	920	16250
268	923	16243
269	927	16240
270	930	16235
271	933	16233
272	937	16234
273	941	16231
274	944	16228
275	948	16238
276	952	16240
277	955	16231
278	959	16230
279	962	16224
280	965	16222
281	969	16221
282	972	16213
283	975	16206
284	979	16201
285	982	16194
286	985	16190
287	989	16188
288	992	16181
289	995	16174
290	999	16167
291	1002	16161
292	1005	16158
293	1009	16151
294	1012	16147
295	1015	16143
296	1019	16136
297	1022	16129
298	1025	16125
299	1029	16121
300	1032	16114
301	1035	16109
302	1038	16105
303	1042	16099
304	1045	16091
305	1048	16088
306	1052	16081
307	1055	16074
308	1058	16066
309	1061	16058
310	1064	16055
311	1067	16044
312	1071	16043
313	1074	16038
314	1078	16035
315	1081	16033
316	1085	16029
317	1087	16018
318	1091	16012
319	1094	16006
320	1097	15996
321	1100	15989
322	1103	15983
323	1106	15976
324	1109	15966
325	1113	15960
326	1116	15955
327	1119	15947
328	1122	15941
329	1125	15932
330	1129	15927
331	1132	15922
332	1135	15916
333	1138	15910
334	1142	15904
335	1145	15897
336	1148	15894
337	1151	15887
338	1154	15879
339	1158	15879
340	1161	15874
341	1165	15871
342	1168	15867
343	1171	15862
344	1175	15859
345	1178	15855
346	1182	15849
347	1185	15843
348	1188	15838
349	1192	15837
350	1195	15829
351	1198	15823
352	1202	15828
353	1205	15825
354	1209	15821
355	1212	15814
356	1215	15810
357	1219	15807
358	1222	15804
359	1225	15801
360	1229	15798
361	1232	15796
362	1236	15793
363	1239	15791
364	1243	15785
365	1246	15782
366	1249	15778
367	1253	15773
368	1256	15768
369	1259	15765
370	1263	15762
371	1266	15756
372	1269	15752
373	1273	15748
374	1276	15745
375	1279	15740
376	1283	15733
377	1286	15726
378	1289	15724
379	1293	15721
380	1296	15722
381	1300	15717
382	1303	15715
383	1307	15715
384	1310	15712
385	1314	15707
386	1317	15703
387	1320	15698
388	1324	15698
389	1328	15706
390	1332	15707
391	1336	15705
392	1339	15700
393	1342	15696
394	1345	15691
395	1349	15689
396	1352	15686
397	1356	15679
398	1359	15674
399	1362	15670
400	1366	15669
401	1369	15665
402	1373	15661
403	1376	15654
404	1379	15650
405	1383	15649
406	1386	15644
407	1389	15639
408	1393	15638
409	1396	15634
410	1400	15636
411	1404	15636
412	1407	15633
413	1410	15629
414	1414	15623
415	1417	15622
416	1421	15617
417	1424	15612
418	1427	15607
419	1430	15603
420	1434	15598
421	1437	15591
422	1440	15586
423	1443	15583
424	1447	15580
425	1450	15572
426	1453	15565
427	1456	15562
428	1460	15557
429	1463	15551
430	1466	15546
431	1469	15540
432	1473	15536
433	1476	15533
434	1479	15527
435	1482	15522
436	1486	15519
437	1489	15515
438	1493	15512
439	1496	15509
440	1499	15506
441	1503	15501
442	1506	15497
443	1509	15492
444	1513	15488
445	1516	15485
446	1519	15481
447	1523	15476
448	1526	15472
449	1529	15466
450	1532	15461
451	1536	15457
452	1539	15452
453	1542	15448
454	1546	15446
455	1549	15440
456	1552	15434
457	1555	15428
458	1559	15424
459	1562	15420
