kick_off_time,home_team,away_team,temperature,humidity,attendance,month,year,capacity_y,rain,first_end_sec,home_team_capacity,away_team_capacity,stadium_distance,is_home_stadium,discomfort,lightgbm_pred
16,2,20,8.3,40.0,20916.0,3,2006,21000,0,1,21000.0,62010.0,4.3135447863595875,1,50.5898,20605.262106301052
15,11,29,12.4,58.0,17564.0,3,2006,36894,0,1,36894.0,37496.0,8.392282109168226,1,55.17008,16612.638891362254
15,21,6,13.6,70.0,13054.0,3,2006,20248,0,0,20248.0,20223.0,1.5468613455135596,1,56.730799999999995,11477.613880464143
16,3,10,16.4,50.0,7921.0,3,2006,20588,0,0,20588.0,26827.0,3.9787627393633325,1,60.55199999999999,10136.466026211532
15,0,2,10.6,67.0,30561.0,3,2006,47853,0,0,17892.0,21000.0,0.1976272455912901,2,52.33598,23992.450130066452
15,23,10,14.7,39.0,9082.0,3,2006,15859,0,0,15859.0,26827.0,1.0610284604910436,1,58.30566999999999,11792.151031353602
16,19,0,12.3,76.0,19307.0,3,2006,72081,1,0,72081.0,17892.0,4.186544425564481,1,54.649519999999995,19298.670895866428
19,2,7,9.0,79.0,8388.0,3,2006,21000,1,0,21000.0,31997.0,4.205017497984652,1,49.3319,12250.139273651106
15,20,0,16.5,25.0,43815.0,3,2006,62010,0,0,62010.0,17892.0,4.389959331559473,1,60.17375,48935.39888868269
15,13,24,7.3,43.0,37585.0,3,2006,41684,0,0,41684.0,15165.0,3.3737853295703264,1,49.171609999999994,32937.514399351494
15,21,5,13.9,32.0,12114.0,3,2006,20248,0,0,20248.0,19470.0,1.744733156521656,1,57.38652,13976.89875047577
15,7,19,13.4,50.0,17341.0,3,2006,31997,0,0,31997.0,72081.0,8.27880229697473,1,56.637,19318.55393439208
16,10,1,16.4,24.0,14191.0,3,2006,26827,0,0,26827.0,48999.0,0.14250487871298104,1,60.04863999999999,19210.489752505197
18,23,26,11.4,46.0,8604.0,3,2006,15859,0,0,15859.0,22331.0,8.377773169101513,1,54.14756,9466.469013561038
14,6,7,15.9,44.0,11878.0,3,2006,20223,0,0,20223.0,31997.0,5.624441277820666,1,59.81304,10776.57758929675
16,1,3,16.1,38.0,17033.0,3,2006,48999,0,0,48999.0,20588.0,3.872697397120639,1,59.96382,22260.310425689284
15,19,1,13.8,46.0,20977.0,4,2006,72081,0,0,72081.0,48999.0,0.17212320464133138,1,57.18452,30286.061231413107
14,3,26,16.0,85.0,3670.0,4,2006,20588,1,0,20588.0,22331.0,5.438390941169005,1,60.568999999999996,10300.504775024165
15,13,11,10.5,71.0,34071.0,4,2006,41684,0,0,41684.0,36894.0,7.501852545391239,1,52.03245,33017.91043233087
15,7,24,21.2,29.0,17406.0,4,2006,31997,0,0,31997.0,15165.0,6.404779815940364,1,65.41152,15643.87013685587
15,5,0,14.8,53.0,8770.0,4,2006,19470,0,0,19470.0,17892.0,4.706090164126706,1,58.47456,12557.210354839179
15,11,10,19.1,17.0,7418.0,4,2006,36894,0,0,36894.0,26827.0,7.344089248917739,1,62.55453,10188.347260435603
16,1,24,15.5,25.0,24214.0,4,2006,48999,0,0,48999.0,15165.0,1.9002943918501087,1,59.11625,23275.143025369962
15,29,21,10.4,51.0,12361.0,4,2006,37496,0,0,37496.0,20248.0,2.382798432210745,1,52.68196,15925.359392256463
15,13,6,15.6,24.0,39322.0,4,2006,41684,0,0,41684.0,20223.0,3.4776728784639874,1,59.21056,34807.43254759596
19,19,2,10.7,36.0,28885.0,4,2006,72081,0,0,72081.0,21000.0,4.125667771855231,1,53.632479999999994,22572.4985512205
15,10,8,11.4,69.0,11149.0,4,2006,26827,0,0,26827.0,15491.0,0.32924660701060876,1,53.45434,12410.63798559236
14,2,1,15.8,42.0,15103.0,4,2006,21000,0,0,21000.0,48999.0,4.078297804606338,1,59.66164,17585.101504275164
15,3,29,16.1,50.0,12295.0,4,2006,20588,0,0,20588.0,37496.0,5.027910953488735,1,60.1605,12867.307369886514
15,26,13,18.1,66.0,8667.0,4,2006,22331,0,0,22331.0,41684.0,9.612236667502579,1,63.34954,10915.268029007368
19,1,6,15.2,70.0,22188.0,4,2006,48999,0,0,48999.0,20223.0,2.64280962298933,1,59.1356,23130.79505800586
13,24,23,21.8,63.0,14642.0,4,2006,15165,0,0,15165.0,15859.0,1.144942511618814,1,68.54566,11655.02981844305
15,3,13,22.8,27.0,11221.0,5,2006,20588,0,0,20588.0,41684.0,4.42053438378506,1,67.00144,10618.280405144804
16,5,20,14.4,48.0,17438.0,5,2006,19470,0,0,19470.0,62010.0,0.5250556225315569,1,57.94288,17973.778038126067
15,19,5,22.2,50.0,32073.0,5,2006,72081,0,0,72081.0,19470.0,0.5214669709051666,1,68.121,23373.552998557407
15,7,3,21.3,68.0,21874.0,5,2006,31997,0,0,31997.0,20588.0,4.436373617089188,1,68.16816,16013.963312625392
19,13,21,17.3,66.0,42056.0,5,2006,41684,0,0,41684.0,20248.0,2.955125535776775,1,62.17882,36234.94067147312
19,29,10,21.4,80.0,7427.0,7,2006,37496,0,0,37496.0,26827.0,1.0723635246920684,1,69.1428,14368.518703374468
19,8,24,22.4,83.0,5806.0,7,2006,21500,0,0,15491.0,15165.0,2.122034993492789,2,70.98107999999999,8450.120716613495
19,23,3,22.3,83.0,8025.0,7,2006,15859,0,0,15859.0,20588.0,2.941463220944641,1,70.81791,10898.756638505109
19,10,20,24.4,77.0,23005.0,7,2006,26827,0,0,26827.0,62010.0,0.32228674774181815,1,73.65312,21416.908678134198
19,7,13,26.1,80.0,19304.0,7,2006,31997,0,0,31997.0,41684.0,8.759669301186257,1,76.6722,15032.252678727187
19,19,26,24.8,84.0,19223.0,7,2006,72081,0,0,72081.0,22331.0,9.345406838835867,1,74.99968,21027.1444685957
19,26,21,28.3,78.0,13655.0,7,2006,22331,0,0,22331.0,20248.0,8.141700843955222,1,79.92226,12131.622871760213
18,8,3,29.8,51.0,7278.0,7,2006,15002,0,0,15491.0,20588.0,4.0253616824898995,0,78.19102,7030.6081715861055
19,21,24,28.0,65.0,24920.0,7,2006,51697,0,0,20248.0,15165.0,0.6586610746537234,2,77.703,28262.835494725605
19,7,10,29.6,73.0,20873.0,7,2006,31997,0,0,31997.0,26827.0,8.340986564315822,1,81.22892,17840.811646827806
18,11,21,27.3,82.0,10569.0,8,2006,36894,0,0,36894.0,20248.0,6.111499469260642,1,78.84914,10705.403812673541
19,6,23,27.1,73.0,12454.0,8,2006,20223,0,0,20223.0,15859.0,1.719862814255843,1,77.39717,10153.200006417093
19,26,7,28.7,75.0,18205.0,8,2006,22331,0,0,22331.0,31997.0,1.2555088041276385,1,80.13175,12339.372840638598
19,6,24,28.4,80.0,14392.0,8,2006,20223,0,0,20223.0,15165.0,1.018700409221481,1,80.35679999999999,14367.901164292574
19,20,13,27.6,84.0,34417.0,8,2006,62010,0,0,62010.0,41684.0,2.085724908037975,1,79.59616,43713.82205959597
19,1,26,28.6,64.0,18533.0,8,2006,54224,0,0,48999.0,22331.0,9.302394005772499,2,78.43496,22788.99092599181
19,23,29,27.3,76.0,12115.0,8,2006,15859,0,0,15859.0,37496.0,2.087311598040404,1,78.08552,13339.2194103654
19,3,0,27.5,61.0,11291.0,8,2006,20588,0,0,20588.0,17892.0,0.4258071857002886,1,76.45925,13269.067245431372
19,7,21,29.3,70.0,18864.0,8,2006,31997,0,0,31997.0,20248.0,7.054945315229953,1,80.3279,16138.51242670784
18,23,24,25.1,75.0,14227.0,8,2006,15859,0,0,15859.0,15165.0,1.144942511618814,1,74.54275,12850.14884654137
19,13,7,27.0,62.0,40466.0,8,2006,41684,0,0,41684.0,31997.0,8.759669301186257,1,75.8766,36684.33851944183
19,21,1,26.8,58.0,16177.0,8,2006,20248,0,0,20248.0,48999.0,1.2476055363715681,1,75.10256,14648.834486320153
19,0,20,29.3,69.0,23386.0,8,2006,47853,0,0,17892.0,62010.0,4.389959331559473,2,80.18083,22644.81300986825
19,26,5,26.6,86.0,17738.0,8,2006,22331,0,0,22331.0,19470.0,9.865163955646018,1,78.19524,11177.751647895146
19,6,2,27.0,73.0,17556.0,8,2006,20223,0,0,20223.0,21000.0,1.4355806377866602,1,77.2439,16734.05602149757
19,3,19,26.3,89.0,8886.0,8,2006,20588,0,0,20588.0,72081.0,3.926170713009434,1,78.04893,9156.505301720432
19,1,0,26.3,60.0,21041.0,8,2006,54224,0,0,48999.0,17892.0,4.146696072124529,2,74.64519999999999,27957.417648484236
19,19,23,25.1,74.0,12384.0,8,2006,15440,0,0,72081.0,15859.0,1.0242411937141538,0,74.43726,12142.440515503527
