,kick_off_time,home_team,away_team,temperature,humidity,attendance,month,year,capacity_y,rain,first_end_sec,home_team_capacity,away_team_capacity,stadium_distance,is_home_stadium,discomfort
0,16,2,20,8.3,40.0,20916.0,3,2006,21000,0,1,21000.0,62010.0,4.3135447863595875,1,50.5898
1,13,23,21,12.9,28.0,14277.0,3,2006,15859,0,1,15859.0,20248.0,0.6446801989203639,0,56.32088
2,13,1,7,12.1,35.0,22531.0,3,2006,48999,0,1,48999.0,31997.0,8.248674927719845,1,55.28865
3,14,24,26,11.6,42.0,28564.0,3,2006,51697,0,1,15165.0,22331.0,7.502896351598441,0,54.513279999999995
4,14,6,0,13.1,32.0,17199.0,3,2006,20223,0,1,20223.0,17892.0,1.5129853555048023,1,56.485079999999996
5,15,8,5,12.6,33.0,13085.0,3,2006,62010,0,1,15491.0,19470.0,0.5979772141495209,0,55.90342
6,15,10,13,13.3,34.0,17444.0,3,2006,26827,0,1,26827.0,41684.0,2.370507222229872,1,56.68778
7,15,11,29,12.4,58.0,17564.0,3,2006,36894,0,1,36894.0,37496.0,8.392282109168226,1,55.17008
8,15,19,3,12.6,34.0,23607.0,3,2006,72081,0,1,72081.0,20588.0,3.926170713009434,1,55.88516
9,14,20,24,16.0,48.0,56512.0,3,2006,62010,0,0,62010.0,15165.0,2.1823873364208315,1,59.9992
10,15,5,23,15.3,51.0,11896.0,3,2006,19470,0,0,19470.0,15859.0,1.5363960872620128,1,59.12497
11,15,13,1,15.4,43.0,40266.0,3,2006,41684,0,0,41684.0,48999.0,2.268334593309588,0,59.18078
12,15,21,6,13.6,70.0,13054.0,3,2006,20248,0,0,20248.0,20223.0,1.5468613455135596,0,56.730799999999995
13,16,29,19,13.8,66.0,22454.0,3,2006,37496,0,0,37496.0,72081.0,1.1416253822620612,1,57.05692
14,16,3,10,16.4,50.0,7921.0,3,2006,20588,0,0,20588.0,26827.0,3.9787627393633325,1,60.55199999999999
15,19,26,8,15.4,66.0,12040.0,3,2006,22331,0,0,22331.0,15491.0,9.462679062160408,0,59.39836
16,14,7,11,9.4,54.0,17043.0,3,2006,31997,0,0,31997.0,36894.0,1.4420280940432435,1,51.21724
17,15,0,2,10.6,67.0,30561.0,3,2006,47853,0,0,17892.0,21000.0,0.1976272455912901,0,52.33598
18,14,1,21,14.8,44.0,19011.0,3,2006,48999,0,0,48999.0,20248.0,1.2476055363715681,1,58.44288
19,14,24,3,11.6,80.0,10560.0,3,2006,15165,1,0,15165.0,20588.0,2.179827494960558,1,53.4432
20,14,11,20,8.4,87.0,16742.0,3,2006,36894,1,0,36894.0,62010.0,7.463756747863722,1,47.89792
21,15,8,13,15.3,46.0,9368.0,3,2006,62010,0,0,15491.0,41684.0,2.049059812987407,0,59.08262
22,15,23,10,14.7,39.0,9082.0,3,2006,15859,0,0,15859.0,26827.0,1.0610284604910436,0,58.30566999999999
23,15,6,29,10.3,73.0,22651.0,3,2006,41255,0,0,20223.0,37496.0,3.800931646113362,0,51.64781
24,16,5,26,13.9,58.0,8567.0,3,2006,19470,0,0,19470.0,22331.0,9.865163955646018,1,57.24638
25,16,19,0,12.3,76.0,19307.0,3,2006,72081,1,0,72081.0,17892.0,4.186544425564481,1,54.649519999999995
26,19,2,7,9.0,79.0,8388.0,3,2006,21000,1,0,21000.0,31997.0,4.205017497984652,1,49.3319
27,14,29,23,15.3,24.0,14815.0,3,2006,37496,0,0,37496.0,15859.0,2.087311598040404,1,58.89628
28,14,26,6,12.5,47.0,8585.0,3,2006,22331,0,0,22331.0,20223.0,6.660316417061959,0,55.52025
29,15,20,0,16.5,25.0,43815.0,3,2006,62010,0,0,62010.0,17892.0,4.389959331559473,1,60.17375
