,id,match_date,kick_off_time,home_team,away_team,venue,temperature,humidity,attendance,month,year,capacity_y,address,rain,first_end_sec,home_team_stadium,home_team_address,home_team_capacity,home_team_lon,home_team_lat,away_team_stadium,away_team_address,away_team_capacity,away_team_lon,away_team_lat,stadium_distance,is_home_stadium
0,9190,2006-03-04,16,G大阪,浦和,万博記念競技場,8.3,40.0,20916.0,3,2006,21000,大阪府吹田市千里万博公園5-2,0,1,万博記念競技場,大阪府吹田市千里万博公園5-2,21000.0,135.540421,34.812466,埼玉スタジアム2002,埼玉県さいたま市緑区美園2丁目1,62010.0,139.713974,35.902477,4.3135447863595875,1
1,9191,2006-03-05,13,甲府,清水,山梨中銀スタジアム,12.9,28.0,14277.0,3,2006,15859,山梨県甲府市小瀬町840,0,1,山梨中銀スタジアム,山梨県甲府市小瀬町840,15859.0,138.588425,35.62075,IAIスタジアム日本平,静岡県静岡市清水区村松3880−1,20248.0,138.482101,34.984898,0.6446801989203639,1
2,9192,2006-03-05,13,FC東京,大分,味の素スタジアム,12.1,35.0,22531.0,3,2006,48999,東京都調布市西町376-3,0,1,味の素スタジアム,東京都調布市西町376-3,48999.0,139.5289,35.66367,九州石油ドーム,大分県大分市横尾1351,31997.0,131.656387,33.201115,8.248674927719845,1
3,9193,2006-03-05,14,磐田,福岡,エコパスタジアム,11.6,42.0,28564.0,3,2006,51697,静岡県袋井市愛野2300-1,0,1,ヤマハスタジアム(磐田),静岡県磐田市新貝2500,15165.0,137.877701,34.723106,レベルファイブスタジアム,福岡県福岡市博多区東平尾公園2-1-1,22331.0,130.461426,33.586304,7.502896351598441,2
4,9194,2006-03-05,14,名古屋,C大阪,名古屋市瑞穂陸上競技場,13.1,32.0,17199.0,3,2006,20223,愛知県名古屋市瑞穂区山下通5-1,0,1,名古屋市瑞穂陸上競技場,愛知県名古屋市瑞穂区山下通5-1,20223.0,136.941589,35.124908,キンチョウスタジアム,大阪府大阪市東住吉区長居公園1-1,17892.0,135.516663,34.616272,1.5129853555048023,1
5,9195,2006-03-05,15,大宮,千葉,埼玉スタジアム2002,12.6,33.0,13085.0,3,2006,62010,埼玉県さいたま市緑区美園2丁目1,0,1,NACK5スタジアム大宮,埼玉県さいたま市大宮区高鼻町2丁目320−52,15491.0,139.632919,35.915684,フクダ電子アリーナ,千葉県千葉市中央区川崎町1-20,19470.0,140.12413,35.574673,0.5979772141495209,2
6,9196,2006-03-05,15,川崎F,新潟,等々力陸上競技場,13.3,34.0,17444.0,3,2006,26827,神奈川県川崎市中原区等々力1-1,0,1,等々力陸上競技場,神奈川県川崎市中原区等々力1-1,26827.0,139.648911,35.586826,東北電力ビッグスワンスタジアム,新潟県新潟市中央区清五郎67-12,41684.0,139.059891,37.882988,2.370507222229872,1
7,9197,2006-03-05,15,広島,鹿島,広島ビッグアーチ,12.4,58.0,17564.0,3,2006,36894,広島県広島市安佐南区大塚西5丁目1−1,0,1,広島ビッグアーチ,広島県広島市安佐南区大塚西5丁目1−1,36894.0,132.394974,34.439636,県立カシマサッカースタジアム,茨城県鹿嶋市神向寺後山26-2,37496.0,140.64299,35.989033,8.392282109168226,1
8,9198,2006-03-05,15,横浜FM,京都,日産スタジアム,12.6,34.0,23607.0,3,2006,72081,神奈川県横浜市港北区小机町3300,0,1,日産スタジアム,神奈川県横浜市港北区小机町3300,72081.0,139.606674,35.51012,京都市西京極総合運動公園陸上競技場兼球技場,京都府京都市右京区西京極新明町29,20588.0,135.714676,34.993237,3.926170713009434,1
9,9199,2006-03-11,14,浦和,磐田,埼玉スタジアム2002,16.0,48.0,56512.0,3,2006,62010,埼玉県さいたま市緑区美園2丁目1,0,0,埼玉スタジアム2002,埼玉県さいたま市緑区美園2丁目1,62010.0,139.713974,35.902477,ヤマハスタジアム(磐田),静岡県磐田市新貝2500,15165.0,137.877701,34.723106,2.1823873364208315,1
10,9200,2006-03-11,15,千葉,甲府,フクダ電子アリーナ,15.3,51.0,11896.0,3,2006,19470,千葉県千葉市中央区川崎町1-20,0,0,フクダ電子アリーナ,千葉県千葉市中央区川崎町1-20,19470.0,140.12413,35.574673,山梨中銀スタジアム,山梨県甲府市小瀬町840,15859.0,138.588425,35.62075,1.5363960872620128,1
11,9201,2006-03-11,15,新潟,FC東京,東北電力ビッグスワンスタジアム,15.4,43.0,40266.0,3,2006,41684,新潟県新潟市中央区清五郎67-12,0,0,東北電力ビッグスワンスタジアム,新潟県新潟市中央区清五郎67-12,41684.0,139.059891,37.882988,味の素スタジアム,東京都調布市西町376-3,48999.0,139.5289,35.66367,2.268334593309588,1
12,9202,2006-03-11,15,清水,名古屋,IAIスタジアム日本平,13.6,70.0,13054.0,3,2006,20248,静岡県静岡市清水区村松3880−1,0,0,IAIスタジアム日本平,静岡県静岡市清水区村松3880−1,20248.0,138.482101,34.984898,名古屋市瑞穂陸上競技場,愛知県名古屋市瑞穂区山下通5-1,20223.0,136.941589,35.124908,1.5468613455135596,1
13,9203,2006-03-11,16,鹿島,横浜FM,県立カシマサッカースタジアム,13.8,66.0,22454.0,3,2006,37496,茨城県鹿嶋市神向寺後山26-2,0,0,県立カシマサッカースタジアム,茨城県鹿嶋市神向寺後山26-2,37496.0,140.64299,35.989033,日産スタジアム,神奈川県横浜市港北区小机町3300,72081.0,139.606674,35.51012,1.1416253822620612,1
14,9204,2006-03-11,16,京都,川崎F,京都市西京極総合運動公園陸上競技場兼球技場,16.4,50.0,7921.0,3,2006,20588,京都府京都市右京区西京極新明町29,0,0,京都市西京極総合運動公園陸上競技場兼球技場,京都府京都市右京区西京極新明町29,20588.0,135.714676,34.993237,等々力陸上競技場,神奈川県川崎市中原区等々力1-1,26827.0,139.648911,35.586826,3.9787627393633325,1
15,9205,2006-03-11,19,福岡,大宮,レベルファイブスタジアム,15.4,66.0,12040.0,3,2006,22331,福岡県福岡市博多区東平尾公園2-1-1,0,0,レベルファイブスタジアム,福岡県福岡市博多区東平尾公園2-1-1,22331.0,130.461426,33.586304,NACK5スタジアム大宮,埼玉県さいたま市大宮区高鼻町2丁目320−52,15491.0,139.632919,35.915684,9.462679062160408,1
16,9206,2006-03-12,14,大分,広島,九州石油ドーム,9.4,54.0,17043.0,3,2006,31997,大分県大分市横尾1351,0,0,九州石油ドーム,大分県大分市横尾1351,31997.0,131.656387,33.201115,広島ビッグアーチ,広島県広島市安佐南区大塚西5丁目1−1,36894.0,132.394974,34.439636,1.4420280940432435,1
17,9207,2006-03-12,15,C大阪,G大阪,大阪長居スタジアム,10.6,67.0,30561.0,3,2006,47853,大阪府大阪市東住吉区長居公園1-1,0,0,キンチョウスタジアム,大阪府大阪市東住吉区長居公園1-1,17892.0,135.516663,34.616272,万博記念競技場,大阪府吹田市千里万博公園5-2,21000.0,135.540421,34.812466,0.1976272455912901,2
18,9208,2006-03-18,14,FC東京,清水,味の素スタジアム,14.8,44.0,19011.0,3,2006,48999,東京都調布市西町376-3,0,0,味の素スタジアム,東京都調布市西町376-3,48999.0,139.5289,35.66367,IAIスタジアム日本平,静岡県静岡市清水区村松3880−1,20248.0,138.482101,34.984898,1.2476055363715681,1
19,9209,2006-03-18,14,磐田,京都,ヤマハスタジアム(磐田),11.6,80.0,10560.0,3,2006,15165,静岡県磐田市新貝2500,1,0,ヤマハスタジアム(磐田),静岡県磐田市新貝2500,15165.0,137.877701,34.723106,京都市西京極総合運動公園陸上競技場兼球技場,京都府京都市右京区西京極新明町29,20588.0,135.714676,34.993237,2.179827494960558,1
20,9210,2006-03-18,14,広島,浦和,広島ビッグアーチ,8.4,87.0,16742.0,3,2006,36894,広島県広島市安佐南区大塚西5丁目1−1,1,0,広島ビッグアーチ,広島県広島市安佐南区大塚西5丁目1−1,36894.0,132.394974,34.439636,埼玉スタジアム2002,埼玉県さいたま市緑区美園2丁目1,62010.0,139.713974,35.902477,7.463756747863722,1
21,9211,2006-03-18,15,大宮,新潟,埼玉スタジアム2002,15.3,46.0,9368.0,3,2006,62010,埼玉県さいたま市緑区美園2丁目1,0,0,NACK5スタジアム大宮,埼玉県さいたま市大宮区高鼻町2丁目320−52,15491.0,139.632919,35.915684,東北電力ビッグスワンスタジアム,新潟県新潟市中央区清五郎67-12,41684.0,139.059891,37.882988,2.049059812987407,2
22,9212,2006-03-18,15,甲府,川崎F,山梨中銀スタジアム,14.7,39.0,9082.0,3,2006,15859,山梨県甲府市小瀬町840,0,0,山梨中銀スタジアム,山梨県甲府市小瀬町840,15859.0,138.588425,35.62075,等々力陸上競技場,神奈川県川崎市中原区等々力1-1,26827.0,139.648911,35.586826,1.0610284604910436,1
23,9213,2006-03-18,15,名古屋,鹿島,豊田スタジアム,10.3,73.0,22651.0,3,2006,41255,愛知県豊田市千石町7-2,0,0,名古屋市瑞穂陸上競技場,愛知県名古屋市瑞穂区山下通5-1,20223.0,136.941589,35.124908,県立カシマサッカースタジアム,茨城県鹿嶋市神向寺後山26-2,37496.0,140.64299,35.989033,3.800931646113362,2
24,9214,2006-03-18,16,千葉,福岡,フクダ電子アリーナ,13.9,58.0,8567.0,3,2006,19470,千葉県千葉市中央区川崎町1-20,0,0,フクダ電子アリーナ,千葉県千葉市中央区川崎町1-20,19470.0,140.12413,35.574673,レベルファイブスタジアム,福岡県福岡市博多区東平尾公園2-1-1,22331.0,130.461426,33.586304,9.865163955646018,1
25,9215,2006-03-18,16,横浜FM,C大阪,日産スタジアム,12.3,76.0,19307.0,3,2006,72081,神奈川県横浜市港北区小机町3300,1,0,日産スタジアム,神奈川県横浜市港北区小机町3300,72081.0,139.606674,35.51012,キンチョウスタジアム,大阪府大阪市東住吉区長居公園1-1,17892.0,135.516663,34.616272,4.186544425564481,1
26,9216,2006-03-18,19,G大阪,大分,万博記念競技場,9.0,79.0,8388.0,3,2006,21000,大阪府吹田市千里万博公園5-2,1,0,万博記念競技場,大阪府吹田市千里万博公園5-2,21000.0,135.540421,34.812466,九州石油ドーム,大分県大分市横尾1351,31997.0,131.656387,33.201115,4.205017497984652,1
27,9217,2006-03-21,14,鹿島,甲府,県立カシマサッカースタジアム,15.3,24.0,14815.0,3,2006,37496,茨城県鹿嶋市神向寺後山26-2,0,0,県立カシマサッカースタジアム,茨城県鹿嶋市神向寺後山26-2,37496.0,140.64299,35.989033,山梨中銀スタジアム,山梨県甲府市小瀬町840,15859.0,138.588425,35.62075,2.087311598040404,1
28,9218,2006-03-21,14,福岡,名古屋,レベルファイブスタジアム,12.5,47.0,8585.0,3,2006,22331,福岡県福岡市博多区東平尾公園2-1-1,0,0,レベルファイブスタジアム,福岡県福岡市博多区東平尾公園2-1-1,22331.0,130.461426,33.586304,名古屋市瑞穂陸上競技場,愛知県名古屋市瑞穂区山下通5-1,20223.0,136.941589,35.124908,6.660316417061959,1
