id,section,round,home_team,away_team,weather,temperature,humidity,broadcasters,attendance,capacity_y,is_next_day_holiday,is_this_day_holiday,kick_off_time_is_night,x,y
9190,1,1,G大阪,浦和,晴,8.3,40.0,NHK総合/J SPORTS(録),20916.0,21000,0,0,1,34.812466,135.540421
9191,1,2,甲府,清水,晴,12.9,28.0,山梨放送/テレビ静岡(録)/J SPORTS(録),14277.0,15859,0,0,0,35.62075,138.588425
9192,1,2,FC東京,大分,晴,12.1,35.0,BS-i/MXテレビ(録)/J SPORTS(録),22531.0,48999,0,0,0,35.66367,139.5289
9193,1,2,磐田,福岡,晴,11.6,42.0,J SPORTS,28564.0,51697,0,0,0,34.744198,137.969711
9194,1,2,名古屋,C大阪,晴,13.1,32.0,スカイパーフェクTV!/NHK名古屋(録)/NHK大阪(録)/J SPORTS(録),17199.0,20223,0,0,0,35.124908,136.941589
9195,1,2,大宮,千葉,晴,12.6,33.0,テレビ埼玉/BS(録)/J SPORTS(録),13085.0,62010,0,0,0,35.902477,139.713974
9196,1,2,川崎F,新潟,晴,13.3,34.0,J SPORTS(録),17444.0,26827,0,0,0,35.586826,139.648911
9197,1,2,広島,鹿島,曇,12.4,58.0,BS/J SPORTS(録),17564.0,36894,0,0,0,34.439636,132.394974
9198,1,2,横浜FM,京都,晴,12.6,34.0,BS-i/KBS京都(録)/J SPORTS(録),23607.0,72081,0,0,0,35.51012,139.606674
9199,2,1,浦和,磐田,晴,16.0,48.0,TBS(単)/静岡放送/テレビ埼玉(録)/J SPORTS(録),56512.0,62010,0,0,0,35.902477,139.713974
9200,2,1,千葉,甲府,晴,15.3,51.0,スカイパーフェクTV!/千葉テレビ(録)/山梨放送(録)/J SPORTS(録),11896.0,19470,0,0,0,35.574673,140.12413
9201,2,1,新潟,FC東京,曇,15.4,43.0,BS/J SPORTS(録),40266.0,41684,0,0,0,37.882988,139.059891
9202,2,1,清水,名古屋,曇,13.6,70.0,テレビ静岡/J SPORTS,13054.0,20248,0,0,0,34.984898,138.482101
9203,2,1,鹿島,横浜FM,晴,13.8,66.0,NHK総合/J SPORTS(録),22454.0,37496,0,0,1,35.989033,140.64299
9204,2,1,京都,川崎F,晴,16.4,50.0,NHK大阪/BS-i/KBS京都(録)/J SPORTS(録),7921.0,20588,0,0,1,34.993237,135.714676
9205,2,1,福岡,大宮,曇,15.4,66.0,BS/テレビ西日本(録)/J SPORTS(録),12040.0,22331,0,0,1,33.586304,130.461426
9206,2,2,大分,広島,屋内,9.4,54.0,BS-i/J SPORTS(録),17043.0,31997,0,0,0,33.201115,131.656387
9207,2,2,C大阪,G大阪,曇,10.6,67.0,BS/J SPORTS(録),30561.0,47853,0,0,0,34.616272,135.516663
9208,3,1,FC東京,清水,曇時々晴,14.8,44.0,BS-i/MXテレビ(録)/J SPORTS(録),19011.0,48999,0,0,0,35.66367,139.5289
9209,3,1,磐田,京都,雨,11.6,80.0,静岡放送/KBS京都(録)/J SPORTS(録),10560.0,15165,0,0,0,34.723106,137.877701
9210,3,1,広島,浦和,雨,8.4,87.0,NHK広島/スカイパーフェクTV!/J SPORTS(録),16742.0,36894,0,0,0,34.439636,132.394974
9211,3,1,大宮,新潟,曇,15.3,46.0,テレビ埼玉(録)/J SPORTS(録),9368.0,62010,0,0,0,35.902477,139.713974
9212,3,1,甲府,川崎F,曇,14.7,39.0,BS/J SPORTS(録),9082.0,15859,0,0,0,35.62075,138.588425
9213,3,1,名古屋,鹿島,屋内,10.3,73.0,名古屋テレビ/J SPORTS(録),22651.0,41255,0,0,0,35.084568,137.171265
