,id,match_date,kick_off_time,section,round,home_team,away_team,venue,weather,temperature,humidity,broadcasters,attendance,capacity_y,address
0,9190,2006-03-04,16,第1節,第1日,G大阪,浦和,万博記念競技場,晴,8.3,40.0,NHK総合/J SPORTS(録),20916.0,21000,大阪府吹田市千里万博公園5-2
1,9191,2006-03-05,13,第1節,第2日,甲府,清水,山梨県小瀬スポーツ公園陸上競技場,晴,12.9,28.0,山梨放送/テレビ静岡(録)/J SPORTS(録),14277.0,15859,山梨県甲府市小瀬町840
2,9192,2006-03-05,13,第1節,第2日,FC東京,大分,味の素スタジアム,晴,12.1,35.0,BS-i/MXテレビ(録)/J SPORTS(録),22531.0,48999,東京都調布市西町376-3
3,9193,2006-03-05,14,第1節,第2日,磐田,福岡,静岡スタジアムエコパ,晴,11.6,42.0,J SPORTS,28564.0,51697,静岡県袋井市愛野2300−1
4,9194,2006-03-05,14,第1節,第2日,名古屋,C大阪,名古屋市瑞穂陸上競技場,晴,13.1,32.0,スカイパーフェクTV!/NHK名古屋(録)/NHK大阪(録)/J SPORTS(録),17199.0,20223,愛知県名古屋市瑞穂区山下通5-1
5,9195,2006-03-05,15,第1節,第2日,大宮,千葉,埼玉スタジアム2002,晴,12.6,33.0,テレビ埼玉/BS(録)/J SPORTS(録),13085.0,62010,埼玉県さいたま市緑区美園2丁目1
6,9196,2006-03-05,15,第1節,第2日,川崎F,新潟,等々力陸上競技場,晴,13.3,34.0,J SPORTS(録),17444.0,26827,神奈川県川崎市中原区等々力1-1
7,9197,2006-03-05,15,第1節,第2日,広島,鹿島,広島ビッグアーチ,曇,12.4,58.0,BS/J SPORTS(録),17564.0,36894,広島県広島市安佐南区大塚西5丁目1−1
8,9198,2006-03-05,15,第1節,第2日,横浜FM,京都,日産スタジアム,晴,12.6,34.0,BS-i/KBS京都(録)/J SPORTS(録),23607.0,72081,神奈川県横浜市港北区小机町3300
9,9199,2006-03-11,14,第2節,第1日,浦和,磐田,埼玉スタジアム2002,晴,16.0,48.0,TBS(単)/静岡放送/テレビ埼玉(録)/J SPORTS(録),56512.0,62010,埼玉県さいたま市緑区美園2丁目1
10,9200,2006-03-11,15,第2節,第1日,千葉,甲府,フクダ電子アリーナ,晴,15.3,51.0,スカイパーフェクTV!/千葉テレビ(録)/山梨放送(録)/J SPORTS(録),11896.0,19470,千葉県千葉市中央区川崎町1-20
